index,Country,SubRegion,latitude,longitude,total_ocas
0,Aland Islands,Nordics,60.14660645,19.95253754,1
1,Albania,CEE,41.23842239,19.91613197,2
2,Albania,CEE,41.30524826,19.81907082,2
3,Albania,CEE,41.31457138,19.76649475,1
4,Albania,CEE,41.32201767,19.82430267,2
5,Albania,CEE,41.32439423,19.79955483,1
6,Albania,CEE,41.33238983,19.80697441,2
7,Albania,CEE,41.33584595,19.821455,2
8,American Samoa,United States,-14.31288052,-170.7146301,2
9,Andorra,Spain/Portugal,42.49736023,1.501177192,1
10,Andorra,Spain/Portugal,42.5004921,1.52400291,1
11,Angola,Africa,-8.919837952,13.18212986,2
12,Angola,Africa,-8.914740562,13.18128967,3
13,Angola,Africa,-8.914411545,13.17599773,1
14,Angola,Africa,-8.828144073,13.27218628,2
15,Anguilla,Latin America - Other,18.2073822,-63.06103516,1
16,Antigua and Barbuda,Latin America - Other,17.1348381,-61.8363533,1
17,Argentina,Latin America - Other,-54.81661987,-68.32450104,1
18,Argentina,Latin America - Other,-54.80419922,-68.30201721,2
19,Argentina,Latin America - Other,-53.79333115,-67.69235992,1
20,Argentina,Latin America - Other,-53.78583527,-67.70455933,2
21,Argentina,Latin America - Other,-51.62655258,-69.21650696,1
22,Argentina,Latin America - Other,-51.62321472,-69.21729279,2
23,Argentina,Latin America - Other,-51.61882401,-69.21599579,1
24,Argentina,Latin America - Other,-50.33575821,-72.26333618,1
25,Argentina,Latin America - Other,-46.4480629,-67.52127838,2
26,Argentina,Latin America - Other,-45.86455536,-67.49203491,2
27,Argentina,Latin America - Other,-45.86254501,-67.49607086,1
28,Argentina,Latin America - Other,-45.8621521,-67.50357819,1
29,Argentina,Latin America - Other,-45.86096191,-67.49948883,2
30,Argentina,Latin America - Other,-44.04667282,-65.97486115,1
31,Argentina,Latin America - Other,-43.25564194,-65.31680298,2
32,Argentina,Latin America - Other,-43.25308609,-65.30511475,1
33,Argentina,Latin America - Other,-43.24822235,-65.31337738,1
34,Argentina,Latin America - Other,-42.77047348,-65.03687286,1
35,Argentina,Latin America - Other,-41.14389038,-71.29143524,2
36,Argentina,Latin America - Other,-41.10519028,-71.20412445,2
37,Argentina,Latin America - Other,-40.82416534,-62.98834992,2
38,Argentina,Latin America - Other,-40.15658188,-71.35118866,1
39,Argentina,Latin America - Other,-39.31314468,-65.75952911,1
40,Argentina,Latin America - Other,-39.10176468,-67.08789063,1
41,Argentina,Latin America - Other,-38.95357513,-68.02659607,2
42,Argentina,Latin America - Other,-38.95243073,-68.09957123,2
43,Argentina,Latin America - Other,-38.95064545,-68.2221756,4
44,Argentina,Latin America - Other,-38.94461441,-68.07830811,3
45,Argentina,Latin America - Other,-38.93891525,-67.9906311,1
46,Argentina,Latin America - Other,-38.93788147,-69.22427368,1
47,Argentina,Latin America - Other,-38.9323349,-69.20847321,1
48,Argentina,Latin America - Other,-38.927948,-68.07994843,4
49,Argentina,Latin America - Other,-38.87905502,-62.07620621,1
50,Argentina,Latin America - Other,-38.83017731,-68.13937378,1
51,Argentina,Latin America - Other,-38.72601318,-62.25299072,4
52,Argentina,Latin America - Other,-38.72230148,-62.26288986,1
53,Argentina,Latin America - Other,-38.72222519,-62.2699852,2
54,Argentina,Latin America - Other,-38.72114182,-62.26886749,1
55,Argentina,Latin America - Other,-38.71196747,-62.2937088,4
56,Argentina,Latin America - Other,-38.5618515,-58.74179459,1
57,Argentina,Latin America - Other,-38.37933731,-60.27098465,1
58,Argentina,Latin America - Other,-38.37716293,-60.27035141,1
59,Argentina,Latin America - Other,-38.04190064,-57.54793549,1
60,Argentina,Latin America - Other,-38.00547791,-57.54261017,1
61,Argentina,Latin America - Other,-37.99168396,-57.54872894,4
62,Argentina,Latin America - Other,-37.98833466,-61.35268402,1
63,Argentina,Latin America - Other,-37.97801971,-57.60050964,4
64,Argentina,Latin America - Other,-37.95983124,-57.5460701,1
65,Argentina,Latin America - Other,-37.90670013,-57.77210617,1
66,Argentina,Latin America - Other,-37.60203934,-62.40738297,1
67,Argentina,Latin America - Other,-37.47412872,-61.92852783,1
68,Argentina,Latin America - Other,-37.45464706,-61.93732452,2
69,Argentina,Latin America - Other,-37.31732559,-59.13581848,1
70,Argentina,Latin America - Other,-37.26584244,-56.97726059,1
71,Argentina,Latin America - Other,-37.25950623,-56.9908638,1
72,Argentina,Latin America - Other,-37.11151886,-56.86761856,2
73,Argentina,Latin America - Other,-36.89559937,-60.32275391,1
74,Argentina,Latin America - Other,-36.7263794,-56.6750946,1
75,Argentina,Latin America - Other,-36.68837357,-56.6823616,1
76,Argentina,Latin America - Other,-36.62560272,-64.26756287,2
77,Argentina,Latin America - Other,-36.61534882,-64.2890625,3
78,Argentina,Latin America - Other,-36.53609467,-56.69280624,1
79,Argentina,Latin America - Other,-35.97030258,-62.74185944,2
80,Argentina,Latin America - Other,-35.66021347,-63.752388,1
81,Argentina,Latin America - Other,-35.44270706,-60.17585754,1
82,Argentina,Latin America - Other,-35.39677811,-59.33298492,1
83,Argentina,Latin America - Other,-35.1181221,-60.47408676,1
84,Argentina,Latin America - Other,-35.08066559,-57.51776123,1
85,Argentina,Latin America - Other,-35.05657959,-58.75806809,1
86,Argentina,Latin America - Other,-35.03060532,-63.01689529,1
87,Argentina,Latin America - Other,-34.92890549,-57.98130417,2
88,Argentina,Latin America - Other,-34.92366409,-57.93990707,1
89,Argentina,Latin America - Other,-34.92049408,-57.95356751,1
90,Argentina,Latin America - Other,-34.91466141,-57.95371628,4
91,Argentina,Latin America - Other,-34.91064072,-57.96672058,7
92,Argentina,Latin America - Other,-34.89638138,-60.02145386,2
93,Argentina,Latin America - Other,-34.88850021,-57.8873024,2
94,Argentina,Latin America - Other,-34.86405182,-57.89228439,2
95,Argentina,Latin America - Other,-34.8574791,-58.39131928,3
96,Argentina,Latin America - Other,-34.83737183,-64.36936951,1
97,Argentina,Latin America - Other,-34.81339645,-58.46686173,1
98,Argentina,Latin America - Other,-34.80971146,-58.44787216,6
99,Argentina,Latin America - Other,-34.77967835,-58.84010696,3
100,Argentina,Latin America - Other,-34.77500916,-58.2375412,6
101,Argentina,Latin America - Other,-34.77458191,-58.62179947,2
102,Argentina,Latin America - Other,-34.75866699,-58.42311478,4
103,Argentina,Latin America - Other,-34.75031281,-58.60748673,5
104,Argentina,Latin America - Other,-34.74364471,-58.39920807,4
105,Argentina,Latin America - Other,-34.7256546,-58.35934067,6
106,Argentina,Latin America - Other,-34.72306442,-58.26018906,1
107,Argentina,Latin America - Other,-34.72052002,-58.79300308,1
108,Argentina,Latin America - Other,-34.71086884,-58.2800827,1
109,Argentina,Latin America - Other,-34.70399857,-58.42020798,1
110,Argentina,Latin America - Other,-34.69628143,-58.38277435,3
111,Argentina,Latin America - Other,-34.6895752,-58.31229782,3
112,Argentina,Latin America - Other,-34.68310547,-58.43760681,1
113,Argentina,Latin America - Other,-34.67783737,-58.54793167,7
114,Argentina,Latin America - Other,-34.6776619,-58.5473938,7
115,Argentina,Latin America - Other,-34.67669296,-58.55881119,6
116,Argentina,Latin America - Other,-34.66704941,-58.72547913,4
117,Argentina,Latin America - Other,-34.65468216,-58.68398666,2
118,Argentina,Latin America - Other,-34.65093231,-58.62097168,2
119,Argentina,Latin America - Other,-34.65079117,-59.43086624,1
120,Argentina,Latin America - Other,-34.64917374,-58.62176132,4
121,Argentina,Latin America - Other,-34.64619446,-59.43888855,1
122,Argentina,Latin America - Other,-34.64451599,-58.37199783,6
123,Argentina,Latin America - Other,-34.64226914,-58.56781769,4
124,Argentina,Latin America - Other,-34.63843918,-58.82635117,1
125,Argentina,Latin America - Other,-34.63822937,-58.79709625,4
126,Argentina,Latin America - Other,-34.63748169,-58.50611496,3
127,Argentina,Latin America - Other,-34.63708496,-58.76197434,2
128,Argentina,Latin America - Other,-34.63567734,-58.55493927,1
129,Argentina,Latin America - Other,-34.63541031,-58.37683487,14
130,Argentina,Latin America - Other,-34.63537979,-58.3769455,13
131,Argentina,Latin America - Other,-34.6330986,-58.57175446,2
132,Argentina,Latin America - Other,-34.62978745,-58.43889237,2
133,Argentina,Latin America - Other,-34.62874603,-58.3901329,2
134,Argentina,Latin America - Other,-34.62528992,-58.43162918,4
